Time,Time Code,Country Name,Country Code,Population density (people per sq. km of land area) [EN.POP.DNST],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
2014,YR2014,Guinea,GIN,45.3807992837376,595.85438972692,759.587862412066
2014,YR2014,Liberia,LBR,45.2606727574751,..,740.375959137082
2014,YR2014,Italy,ITA,205.564558126323,24322.0796428298,29979.9187217358
2014,YR2014,United Kingdom,GBR,267.028884388046,36733.3838408965,44596.1897498767
2014,YR2014,United States,USA,34.8061342979769,47670.0399498095,55675.3868536862
2014,YR2014,Sierra Leone,SLE,97.2174147963425,553.0155553043,757.169181198044
2014,YR2014,Nigeria,NGA,193.687682949592,2420.8191320772,2688.2672430577
2014,YR2014,Senegal,SEN,73.6235391886979,1009.70128373648,1178.91289299798
2014,YR2014,Spain,ESP,92.9227364506907,20589.501706323,24772.3413090317
2014,YR2014,Mali,MLI,13.8783410780288,611.02386299455,728.878296059105
2015,YR2015,Guinea,GIN,46.5248901188344,619.473480041721,769.255475432822
2015,YR2015,Liberia,LBR,46.4309489202658,390.023964134846,721.581050523128
2015,YR2015,Italy,ITA,205.366538391305,24459.9982135188,30242.3861352184
2015,YR2015,United Kingdom,GBR,269.153139337825,37646.7590653091,45404.5677734722
2015,YR2015,United States,USA,35.0633286762825,49202.32246987,56762.7294515989
2015,YR2015,Sierra Leone,SLE,99.3614436131893,499.2108166442,588.228862794816
2015,YR2015,Nigeria,NGA,198.883860908901,2300.02395072391,2687.48005643212
2015,YR2015,Senegal,SEN,75.7204072092661,1068.18495774479,1219.24941513302
2015,YR2015,Spain,ESP,92.9526859210545,21574.7526374734,25742.3688346767
2015,YR2015,Mali,MLI,14.2918496299757,640.464389016159,751.472889186889
2016,YR2016,Guinea,GIN,47.7715855445222,649.121373665209,830.246163888423
2016,YR2016,Liberia,LBR,47.6203073089701,..,692.618888928373
2016,YR2016,Italy,ITA,205.017949533001,25484.3060160314,30685.645898943
2016,YR2016,United Kingdom,GBR,271.200731616583,38028.8795974965,46081.7152875555
2016,YR2016,United States,USA,35.3183471405052,49147.3629167,57292.5387829091
2016,YR2016,Sierra Leone,SLE,101.535688556387,446.596210601579,610.490055834508
2016,YR2016,Nigeria,NGA,204.179149510853,2080.91911470735,2575.4554493501
2016,YR2016,Senegal,SEN,77.8762478574768,1121.33974257948,1261.00947226935
2016,YR2016,Spain,ESP,93.0492629572988,22569.3506592936,26500.3139007271
2016,YR2016,Mali,MLI,14.7234840475664,668.009484727266,772.131838823716
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 09/16/2022,,,,,,
